external_id,timestamp,amount,currency,merchant,category,country,channel,card_last4,customer_id
TX1001,2026-05-02T14:23:00,42.50,USD,Starbucks,coffee,US,pos,4821,CUST001
TX1002,2026-05-03T19:10:00,120.00,USD,Amazon,retail,US,online,4821,CUST001
TX1003,2026-05-05T02:01:00,80.00,USD,UberEats,food,US,online,4821,CUST001
TX1004,2026-05-05T02:05:00,95.00,USD,DoorDash,food,US,online,4821,CUST001
TX1005,2026-05-05T02:09:00,60.00,USD,Grubhub,food,US,online,4821,CUST001
TX1006,2026-05-10T11:00:00,15000.00,USD,Rolex Boutique,jewelry,US,pos,4821,CUST001
TX2001,2026-05-01T10:00:00,55.00,USD,Walmart,retail,US,pos,7799,CUST002
TX2002,2026-05-04T16:30:00,12400.00,USD,Binance,crypto,US,online,7799,CUST002
TX2003,2026-05-06T13:15:00,3000.00,USD,Coinbase,crypto,US,online,7799,CUST002
TX2004,2026-05-09T08:45:00,68.00,USD,Shell,fuel,US,pos,7799,CUST002
TX3001,2026-05-02T09:00:00,75.00,USD,Target,retail,US,pos,3321,CUST003
TX3002,2026-05-02T20:00:00,200.00,USD,BestBuy,electronics,US,online,3321,CUST003
TX3003,2026-05-08T23:45:00,500.00,USD,Bet365,gambling,NG,online,3321,CUST003
TX3004,2026-05-09T18:00:00,5000.00,USD,DraftKings,gambling,US,online,3321,CUST003
TX3005,2026-05-11T12:30:00,89.99,USD,Costco,retail,US,pos,3321,CUST003
TX4001,2026-05-03T12:00:00,30.00,USD,CVS,pharmacy,US,pos,1010,CUST004
TX4002,2026-05-07T03:30:00,2500.00,USD,Apple Gift Cards,gift_card,US,online,5566,CUST004
TX4003,2026-05-12T15:20:00,45.00,USD,Chipotle,food,US,pos,1010,CUST004
TX5001,2026-05-01T11:15:00,22.40,USD,McDonalds,food,US,pos,9090,CUST005
TX5002,2026-05-03T13:40:00,150.00,USD,Nike,retail,US,online,9090,CUST005
TX5003,2026-05-05T17:05:00,310.00,USD,Delta Airlines,travel,US,online,9090,CUST005
TX5004,2026-05-07T10:25:00,64.30,USD,Trader Joes,grocery,US,pos,9090,CUST005
TX5005,2026-05-09T19:50:00,500.00,USD,Wire Transfer Co,wire,US,online,9090,CUST005
TX6001,2026-05-04T01:20:00,7800.00,USD,LuxWatches,jewelry,GB,online,2244,CUST006
TX6002,2026-05-04T01:24:00,4200.00,USD,LuxWatches,jewelry,GB,online,2244,CUST006
TX6003,2026-05-04T01:28:00,6100.00,USD,LuxWatches,jewelry,GB,online,2244,CUST006
TX6004,2026-05-15T14:00:00,99.00,USD,Spotify,subscription,GB,online,2244,CUST006
